team,player1,player2,p1_pos,p2_pos,co_games,joi90,jdi90,offensive,defensive
Poland,Krzysztof Piątek,Piotr Zieliński,Substitute,Right Center Midfield,4,0.0,-3.222362,0.0,2.6163
Poland,Krzysztof Piątek,Przemysław Frankowski,Substitute,Left Midfield,4,0.0095,-3.217319,0.3462,2.632
Poland,Krzysztof Piątek,Robert Gumny,Substitute,Substitute,4,0.0,-2.889429,0.0,3.652
Poland,Krzysztof Piątek,Robert Lewandowski,Substitute,Center Forward,4,0.128131,-2.955632,4.6691,3.446
Poland,Krzysztof Piątek,Sebastian Szymański,Substitute,Left Center Midfield,4,0.0,-3.088515,0.0,3.0326
Poland,Krzysztof Piątek,Szymon Żurkowski,Substitute,Substitute,4,0.0,-2.889429,0.0,3.652
Poland,Krzysztof Piątek,Łukasz Skorupski,Substitute,Substitute,4,0.0,-2.889429,0.0,3.652
Poland,Mateusz Wieteska,Matty Cash,Substitute,Right Back,4,0.0,-3.16406,0.0,2.7976
Poland,Mateusz Wieteska,Michał Skóraś,Substitute,Substitute,4,0.0,-3.067308,0.0,3.0986
Poland,Mateusz Wieteska,Nicola Zalewski,Substitute,Left Midfield,4,0.0,-3.098385,0.0,3.0019
Poland,Mateusz Wieteska,Piotr Zieliński,Substitute,Right Center Midfield,4,0.0,-3.222016,0.0,2.6173
Poland,Mateusz Wieteska,Przemysław Frankowski,Substitute,Left Midfield,4,0.0,-3.216973,0.0,2.633
Poland,Mateusz Wieteska,Robert Gumny,Substitute,Substitute,4,0.0,-2.889083,0.0,3.653
Poland,Mateusz Wieteska,Robert Lewandowski,Substitute,Center Forward,4,0.0,-2.955286,0.0,3.4471
Poland,Mateusz Wieteska,Sebastian Szymański,Substitute,Left Center Midfield,4,0.0,-3.088169,0.0,3.0337
Poland,Mateusz Wieteska,Szymon Żurkowski,Substitute,Substitute,4,0.0,-2.889083,0.0,3.653
Poland,Mateusz Wieteska,Wojciech Szczęsny,Substitute,Goalkeeper,4,0.0,-2.936341,0.0,3.506
Poland,Mateusz Wieteska,Łukasz Skorupski,Substitute,Substitute,4,0.0,-2.889083,0.0,3.653
Poland,Matty Cash,Nicola Zalewski,Right Back,Left Midfield,4,0.035973,-3.373362,1.3109,2.1465
Poland,Matty Cash,Przemysław Frankowski,Right Back,Left Midfield,4,0.116619,-3.49195,4.2496,1.7776
Poland,Matty Cash,Robert Gumny,Right Back,Substitute,4,0.0,-3.16406,0.0,2.7976
Poland,Matty Cash,Sebastian Szymański,Right Back,Left Center Midfield,4,-0.002784,-3.363146,0.0,2.1783
Poland,Matty Cash,Szymon Żurkowski,Right Back,Substitute,4,0.0,-3.16406,0.0,2.7976
Poland,Matty Cash,Łukasz Skorupski,Right Back,Substitute,4,0.0,-3.16406,0.0,2.7976
Poland,Michał Skóraś,Nicola Zalewski,Substitute,Left Midfield,4,0.0,-3.27661,0.0,2.4475
Poland,Michał Skóraś,Przemysław Frankowski,Substitute,Left Midfield,4,0.0,-3.395199,0.0,2.0786
Poland,Michał Skóraś,Robert Gumny,Substitute,Substitute,4,0.0,-3.067308,0.0,3.0986
Poland,Michał Skóraś,Sebastian Szymański,Substitute,Left Center Midfield,4,0.0,-3.266394,0.0,2.4793
Poland,Michał Skóraś,Szymon Żurkowski,Substitute,Substitute,4,0.0,-3.067308,0.0,3.0986
Poland,Michał Skóraś,Łukasz Skorupski,Substitute,Substitute,4,0.0,-3.067308,0.0,3.0986
Poland,Nicola Zalewski,Piotr Zieliński,Left Midfield,Right Center Midfield,4,0.00867,-3.431318,0.3159,1.9663
Poland,Nicola Zalewski,Przemysław Frankowski,Left Midfield,Left Midfield,4,0.0,-3.426276,0.0,1.9819
Poland,Nicola Zalewski,Robert Gumny,Left Midfield,Substitute,4,0.0,-3.098385,0.0,3.0019
Poland,Nicola Zalewski,Robert Lewandowski,Left Midfield,Center Forward,4,0.005189,-3.164588,0.1891,2.796
Poland,Nicola Zalewski,Sebastian Szymański,Left Midfield,Left Center Midfield,4,0.065045,-3.297471,2.3702,2.3826
Poland,Nicola Zalewski,Szymon Żurkowski,Left Midfield,Substitute,4,0.0,-3.098385,0.0,3.0019
Poland,Nicola Zalewski,Wojciech Szczęsny,Left Midfield,Goalkeeper,4,0.015092,-3.145644,0.55,2.8549
Poland,Nicola Zalewski,Łukasz Skorupski,Left Midfield,Substitute,4,0.0,-3.098385,0.0,3.0019
Poland,Piotr Zieliński,Robert Gumny,Right Center Midfield,Substitute,4,0.0,-3.222016,0.0,2.6173
Poland,Piotr Zieliński,Sebastian Szymański,Right Center Midfield,Left Center Midfield,4,0.024219,-3.421102,0.8825,1.998
Poland,Piotr Zieliński,Szymon Żurkowski,Right Center Midfield,Substitute,4,0.0,-3.222016,0.0,2.6173
Poland,Piotr Zieliński,Łukasz Skorupski,Right Center Midfield,Substitute,4,0.0,-3.222016,0.0,2.6173
Poland,Przemysław Frankowski,Robert Gumny,Left Midfield,Substitute,4,0.0,-3.216973,0.0,2.633
Poland,Przemysław Frankowski,Sebastian Szymański,Left Midfield,Left Center Midfield,4,0.01,-3.416059,0.3644,2.0137
Poland,Przemysław Frankowski,Szymon Żurkowski,Left Midfield,Substitute,4,0.0,-3.216973,0.0,2.633
Poland,Przemysław Frankowski,Łukasz Skorupski,Left Midfield,Substitute,4,0.0,-3.216973,0.0,2.633
Poland,Robert Gumny,Robert Lewandowski,Substitute,Center Forward,4,0.0,-2.955286,0.0,3.4471
Poland,Robert Gumny,Sebastian Szymański,Substitute,Left Center Midfield,4,0.0,-3.088169,0.0,3.0337
Poland,Robert Gumny,Szymon Żurkowski,Substitute,Substitute,4,0.0,-2.889083,0.0,3.653
Poland,Robert Gumny,Wojciech Szczęsny,Substitute,Goalkeeper,4,0.0,-2.936341,0.0,3.506
Poland,Robert Gumny,Łukasz Skorupski,Substitute,Substitute,4,0.0,-2.889083,0.0,3.653
Poland,Robert Lewandowski,Sebastian Szymański,Center Forward,Left Center Midfield,4,0.042511,-3.154372,1.5491,2.8278
Poland,Robert Lewandowski,Szymon Żurkowski,Center Forward,Substitute,4,0.0,-2.955286,0.0,3.4471
Poland,Robert Lewandowski,Łukasz Skorupski,Center Forward,Substitute,4,0.0,-2.955286,0.0,3.4471
Poland,Sebastian Szymański,Szymon Żurkowski,Left Center Midfield,Substitute,4,0.0,-3.088169,0.0,3.0337
Poland,Sebastian Szymański,Wojciech Szczęsny,Left Center Midfield,Goalkeeper,4,0.006122,-3.135427,0.2231,2.8867
Poland,Sebastian Szymański,Łukasz Skorupski,Left Center Midfield,Substitute,4,0.0,-3.088169,0.0,3.0337
Poland,Szymon Żurkowski,Wojciech Szczęsny,Substitute,Goalkeeper,4,0.0,-2.936341,0.0,3.506
Poland,Szymon Żurkowski,Łukasz Skorupski,Substitute,Substitute,4,0.0,-2.889083,0.0,3.653
Poland,Wojciech Szczęsny,Łukasz Skorupski,Goalkeeper,Substitute,4,0.0,-2.936341,0.0,3.506
Qatar,Boualem Khoukhi,Meshaal Aissa Barsham,Center Back,Goalkeeper,3,0.115753,-3.256578,4.2181,2.5098
Qatar,Boualem Khoukhi,Pedro Miguel Correia,Center Back,Right Center Back,3,0.228004,-3.650262,8.3085,1.2852
Qatar,Abdelkarim Hassan Al Haj Fadlalla,Pedro Miguel Correia,Left Center Back,Right Center Back,3,0.092856,-3.813664,3.3837,0.7769
Qatar,Boualem Khoukhi,Ismaeel Mohammad Mohammad,Center Back,Right Wing Back,3,0.065339,-3.219173,2.381,2.6262
Qatar,Meshaal Aissa Barsham,Pedro Miguel Correia,Goalkeeper,Right Center Back,3,0.054667,-3.219198,1.9921,2.6261
